Date,Decimal Date,Average,Interpolated,Trend,Number of Days
2005-11,2005.875,378.29,378.29,380.47,24
2005-12,2005.958,379.92,379.92,380.75,29
2006-01,2006.042,381.35,381.35,381.11,26
2006-02,2006.125,382.16,382.16,381.35,25
2006-03,2006.208,382.66,382.66,381.11,30
2006-04,2006.292,384.73,384.73,382.02,27
2006-05,2006.375,384.98,384.98,381.82,29
2006-06,2006.458,384.09,384.09,381.79,29
2006-07,2006.542,382.38,382.38,381.82,27
2006-08,2006.625,380.45,380.45,382.10,28
2006-09,2006.708,378.92,378.92,382.21,29
2006-10,2006.792,379.16,379.16,382.48,25
2006-11,2006.875,380.18,380.18,382.38,30
2006-12,2006.958,381.79,381.79,382.65,31
2007-01,2007.042,382.93,382.93,382.74,23
2007-02,2007.125,383.81,383.81,382.95,21
2007-03,2007.208,384.56,384.56,382.92,31
2007-04,2007.292,386.40,386.40,383.58,28
2007-05,2007.375,386.58,386.58,383.34,31
2007-06,2007.458,386.05,386.05,383.77,30
2007-07,2007.542,384.49,384.49,383.99,31
2007-08,2007.625,382.00,382.00,383.69,30
2007-09,2007.708,380.90,380.90,384.25,25
2007-10,2007.792,381.14,381.14,384.48,30
2007-11,2007.875,382.42,382.42,384.64,30
2007-12,2007.958,383.89,383.89,384.81,28
2008-01,2008.042,385.44,385.44,385.26,31
2008-02,2008.125,385.73,385.73,384.91,28
2008-03,2008.208,385.97,385.97,384.40,30
2008-04,2008.292,387.16,387.16,384.50,28
2008-05,2008.375,388.50,388.50,385.38,26
2008-06,2008.458,387.88,387.88,385.55,24
2008-07,2008.542,386.43,386.43,385.87,10
2008-08,2008.625,384.15,384.15,385.82,28
2008-09,2008.708,383.09,383.09,386.34,30
2008-10,2008.792,382.99,382.99,386.26,24
2008-11,2008.875,384.13,384.13,386.32,29
2008-12,2008.958,385.56,385.56,386.43,30
2009-01,2009.042,386.94,386.94,386.66,31
2009-02,2009.125,387.42,387.42,386.61,28
2009-03,2009.208,388.77,388.77,387.30,30
2009-04,2009.292,389.44,389.44,386.78,28
2009-05,2009.375,390.19,390.19,387.02,31
2009-06,2009.458,389.45,389.45,387.17,29
2009-07,2009.542,387.78,387.78,387.31,30
2009-08,2009.625,385.92,385.92,387.62,30
2009-09,2009.708,384.79,384.79,388.03,27
2009-10,2009.792,384.39,384.39,387.63,31
2009-11,2009.875,386.00,386.00,388.16,30
2009-12,2009.958,387.31,387.31,388.13,21
2010-01,2010.042,388.50,388.50,388.23,28
2010-02,2010.125,389.94,389.94,389.06,25
2010-03,2010.208,391.09,391.09,389.60,28
2010-04,2010.292,392.52,392.52,389.94,28
2010-05,2010.375,393.04,393.04,389.86,30
2010-06,2010.458,392.15,392.15,389.84,29
2010-07,2010.542,390.22,390.22,389.75,31
2010-08,2010.625,388.26,388.26,389.94,31
2010-09,2010.708,386.83,386.83,390.09,30
2010-10,2010.792,387.20,387.20,390.49,31
2010-11,2010.875,388.65,388.65,390.79,30
2010-12,2010.958,389.73,389.73,390.54,31
2011-01,2011.042,391.25,391.25,390.98,29
2011-02,2011.125,391.82,391.82,390.96,28
2011-03,2011.208,392.49,392.49,390.99,30
2011-04,2011.292,393.34,393.34,390.69,28
2011-05,2011.375,394.21,394.21,390.97,31
2011-06,2011.458,393.72,393.72,391.38,28
2011-07,2011.542,392.42,392.42,391.96,31
2011-08,2011.625,390.19,390.19,391.88,29
2011-09,2011.708,389.04,389.04,392.33,28
2011-10,2011.792,388.96,388.96,392.30,31
2011-11,2011.875,390.24,390.24,392.41,29
2011-12,2011.958,391.83,391.83,392.64,30
2012-01,2012.042,393.12,393.12,392.91,30
2012-02,2012.125,393.60,393.60,392.83,27
2012-03,2012.208,394.45,394.45,392.88,31
2012-04,2012.292,396.18,396.18,393.40,30
2012-05,2012.375,396.78,396.78,393.51,31
2012-06,2012.458,395.82,395.82,393.53,28
2012-07,2012.542,394.30,394.30,393.89,29
2012-08,2012.625,392.41,392.41,394.19,31
2012-09,2012.708,391.06,391.06,394.45,29
2012-10,2012.792,391.01,391.01,394.38,30
2012-11,2012.875,392.81,392.81,394.86,29
2012-12,2012.958,394.28,394.28,394.98,30
2013-01,2013.042,395.54,395.54,395.37,31
2013-02,2013.125,396.80,396.80,396.03,28
2013-03,2013.208,397.31,397.31,395.72,30
2013-04,2013.292,398.35,398.35,395.46,26
2013-05,2013.375,399.76,399.76,396.37,31
2013-06,2013.458,398.58,398.58,396.24,27
2013-07,2013.542,397.20,397.20,396.81,28
2013-08,2013.625,395.15,395.15,396.99,31
2013-09,2013.708,393.51,393.51,396.94,28
2013-10,2013.792,393.66,393.66,397.02,30
2013-11,2013.875,395.11,395.11,397.22,30
2013-12,2013.958,396.81,396.81,397.61,31
2014-01,2014.042,397.81,397.81,397.64,31
2014-02,2014.125,397.93,397.93,397.16,27
2014-03,2014.208,399.62,399.62,398.02,28
2014-04,2014.292,401.34,401.34,398.45,30
2014-05,2014.375,401.88,401.88,398.49,25
2014-06,2014.458,401.20,401.20,398.86,30
2014-07,2014.542,399.04,399.04,398.65,31
2014-08,2014.625,397.10,397.10,398.94,25
2014-09,2014.708,395.35,395.35,398.78,28
2014-10,2014.792,395.95,395.95,399.31,26
2014-11,2014.875,397.27,397.27,399.39,29
2014-12,2014.958,398.85,398.85,399.65,30
2015-01,2015.042,399.98,399.98,399.81,30
2015-02,2015.125,400.28,400.28,399.52,27
2015-03,2015.208,401.54,401.54,399.95,24
2015-04,2015.292,403.28,403.28,400.39,27
2015-05,2015.375,403.96,403.96,400.57,30
2015-06,2015.458,402.80,402.80,400.46,28
2015-07,2015.542,401.31,401.31,400.92,23
2015-08,2015.625,398.93,398.93,400.77,28
2015-09,2015.708,397.63,397.63,401.07,25
2015-10,2015.792,398.29,398.29,401.65,28
2015-11,2015.875,400.16,400.16,402.27,27
2015-12,2015.958,401.85,401.85,402.65,30
2016-01,2016.042,402.52,402.52,402.35,27
2016-02,2016.125,404.04,404.04,403.27,26
2016-03,2016.208,404.83,404.83,403.23,29
2016-04,2016.292,407.42,407.42,404.53,25
2016-05,2016.375,407.70,407.70,404.31,29
2016-06,2016.458,406.81,406.81,404.47,26
2016-07,2016.542,404.39,404.39,404.00,28
2016-08,2016.625,402.25,402.25,404.09,23
2016-09,2016.708,401.03,401.03,404.46,24
2016-10,2016.792,401.57,401.57,404.93,29
