Date,DEMOOpen,DEMOHigh,DEMOLow,DEMOClose
2016-05-27,13.49,13.76,13.04,13.12
2016-05-31,13.94,15.00,13.45,14.19
2016-06-01,14.45,15.25,14.18,14.20
2016-06-02,14.42,14.92,13.62,13.63
2016-06-03,13.78,14.66,12.90,13.47
2016-06-06,13.84,14.27,13.42,13.65
2016-06-07,12.77,14.05,12.72,14.05
2016-06-08,13.84,14.27,13.70,14.08
2016-06-09,14.01,14.85,13.99,14.64
2016-06-10,14.89,17.33,14.85,17.03
2016-06-13,18.24,21.01,17.89,20.97
2016-06-14,21.28,22.16,20.27,20.50
2016-06-15,20.25,20.45,18.63,20.14
2016-06-16,20.80,22.89,19.24,19.37
2016-06-17,19.42,20.03,18.71,19.41
2016-06-20,17.42,18.55,16.59,18.37
2016-06-21,17.67,18.96,16.91,18.48
2016-06-22,18.26,21.22,17.83,21.17
2016-06-23,19.54,19.79,17.25,17.25
2016-06-24,26.06,26.24,19.48,25.76
2016-06-27,24.38,26.72,22.93,23.85
2016-06-28,21.76,22.07,18.75,18.75
2016-06-29,18.12,18.27,16.48,16.64
2016-06-30,16.91,16.99,15.29,15.63
2016-07-01,15.59,15.86,14.61,14.77
2016-07-05,16.05,16.62,15.49,15.58
2016-07-06,15.87,17.04,14.96,14.96
2016-07-07,14.80,15.98,14.33,14.76
2016-07-08,14.64,14.75,13.19,13.20
2016-07-11,13.25,13.67,13.00,13.54
2016-07-12,12.93,13.93,12.75,13.55
2016-07-13,13.32,13.79,12.92,13.04
2016-07-14,12.50,13.37,12.14,12.82
2016-07-15,13.12,13.22,12.27,12.67
2016-07-18,12.75,13.12,12.33,12.44
2016-07-19,12.53,12.83,11.94,11.97
2016-07-20,11.94,11.97,11.40,11.77
2016-07-21,11.80,13.06,11.69,12.74
2016-07-22,12.80,12.88,11.97,12.02
2016-07-25,12.64,13.72,12.39,12.87
2016-07-26,12.88,13.50,12.80,13.05
2016-07-27,12.61,13.74,12.50,12.83
2016-07-28,12.51,13.52,12.36,12.72
2016-07-29,12.85,12.90,11.77,11.87
2016-08-01,11.89,12.98,11.86,12.44
2016-08-02,12.39,14.24,12.35,13.37
